Number,Name,Englishname,Englishnametranslation,Numberofayahs,Revelationtype
1,سُورَةُ ٱلْفَاتِحَةِ,Al-Faatiha,The Opening,7,Meccan
2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,286,Medinan
3,سُورَةُ آلِ عِمۡرَانَ,Aal-i-Imraan,The Family of Imraan,200,Medinan
4,سُورَةُ النِّسَاءِ,An-Nisaa,The Women,176,Medinan
5,سُورَةُ المَائـِدَةِ,Al-Maaida,The Table,120,Medinan
6,سُورَةُ الأَنۡعَامِ,Al-An'aam,The Cattle,165,Meccan
7,سُورَةُ الأَعۡرَافِ,Al-A'raaf,The Heights,206,Meccan
8,سُورَةُ الأَنفَالِ,Al-Anfaal,The Spoils of War,75,Medinan
9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,129,Medinan
10,سُورَةُ يُونُسَ,Yunus,Jonas,109,Meccan
11,سُورَةُ هُودٍ,Hud,Hud,123,Meccan
12,سُورَةُ يُوسُفَ,Yusuf,Joseph,111,Meccan
13,سُورَةُ الرَّعۡدِ,Ar-Ra'd,The Thunder,43,Medinan
14,سُورَةُ إِبۡرَاهِيمَ,Ibrahim,Abraham,52,Meccan
15,سُورَةُ الحِجۡرِ,Al-Hijr,The Rock,99,Meccan
16,سُورَةُ النَّحۡلِ,An-Nahl,The Bee,128,Meccan
17,سُورَةُ الإِسۡرَاءِ,Al-Israa,The Night Journey,111,Meccan
18,سُورَةُ الكَهۡفِ,Al-Kahf,The Cave,110,Meccan
19,سُورَةُ مَرۡيَمَ,Maryam,Mary,98,Meccan
20,سُورَةُ طه,Taa-Haa,Taa-Haa,135,Meccan
21,سُورَةُ الأَنبِيَاءِ,Al-Anbiyaa,The Prophets,112,Meccan
22,سُورَةُ الحَجِّ,Al-Hajj,The Pilgrimage,78,Medinan
23,سُورَةُ المُؤۡمِنُونَ,Al-Muminoon,The Believers,118,Meccan
24,سُورَةُ النُّورِ,An-Noor,The Light,64,Medinan
25,سُورَةُ الفُرۡقَانِ,Al-Furqaan,The Criterion,77,Meccan
26,سُورَةُ الشُّعَرَاءِ,Ash-Shu'araa,The Poets,227,Meccan
27,سُورَةُ النَّمۡلِ,An-Naml,The Ant,93,Meccan
28,سُورَةُ القَصَصِ,Al-Qasas,The Stories,88,Meccan
29,سُورَةُ العَنكَبُوتِ,Al-Ankaboot,The Spider,69,Meccan
30,سُورَةُ الرُّومِ,Ar-Room,The Romans,60,Meccan
31,سُورَةُ لُقۡمَانَ,Luqman,Luqman,34,Meccan
32,سُورَةُ السَّجۡدَةِ,As-Sajda,The Prostration,30,Meccan
33,سُورَةُ الأَحۡزَابِ,Al-Ahzaab,The Clans,73,Medinan
34,سُورَةُ سَبَإٍ,Saba,Sheba,54,Meccan
