code,number_occurrences,root,description
مءاب,6,أاب-أوب,lieu de retour
أواب,5,أاب-أوب,constamment revenu
مءابا,2,أاب-أوب,un lieu de retour.
المءاب,1,أاب-أوب,demeure pour le retour.
للأوبين,1,أاب-أوب,"""Non traduit pour le moment"""
أوبى,1,أاب-أوب,"""Non traduit pour le moment"""
إيابهم,1,أاب-أوب,(est) leur retour.
وأبا,1,أبب,et des végétaux.
أبدا,28,أبد,à jamais
إبرهيم,43,إبراهيم,"Abraham,"
إبرهم,15,إبراهيم,Abraham
يإبرهيم,4,إبراهيم,O Abraham!
وإبرهيم,4,إبراهيم,et Abraham
لإبرهيم,2,إبراهيم,"""Non traduit pour le moment"""
بإبرهيم,1,إبراهيم,(d'être) d'Abraham
أبق,1,أبق,"""Non traduit pour le moment"""
الإبل,2,أبل,"les camélidés,"
أبابيل,1,أبل,(en) multitudes.
ءاباءنا,10,أبو,"nos parents."""
لأبيه,9,أبو,à son père
يأبت,8,أبو,Oh mon père!
أبى,7,أبو,il refusa
ءاباؤنا,7,أبو,nos ancêtres.
يأبانا,6,أبو,Oh notre père!
ءاباؤكم,5,أبو,Vos parents
وءاباؤكم,5,أبو,et vos ancêtres
ءاباؤهم,4,أبو,leurs parents
أبيكم,4,أبو,"""Non traduit pour le moment"""
ءاباءهم,4,أبو,"leurs parents,"
ءابائكم,4,أبو,"""Non traduit pour le moment"""
ءاباءكم,3,أبو,vos parents
ءابائهم,3,أبو,"leurs ancêtres,"
وءاباءهم,3,أبو,"""Non traduit pour le moment"""
وءاباؤنا,3,أبو,"""Non traduit pour le moment"""
أبواه,2,أبو,ses parents
أبوهم,2,أبو,"""Non traduit pour le moment"""
أبا,2,أبو,"""Non traduit pour le moment"""
أبويه,2,أبو,"""Non traduit pour le moment"""
لءابائهم,2,أبو,"""Non traduit pour le moment"""
ءابائنا,2,أبو,"""Non traduit pour le moment"""
ءابائهن,2,أبو,"""Non traduit pour le moment"""
أوءاباؤنا,2,أبو,"""Non traduit pour le moment"""
بءابائنا,2,أبو,"""Non traduit pour le moment"""
ءابائك,1,أبو,"(de) tes ancêtres,"
ولأبويه,1,أبو,Et quant à ses parents à lui
أبويكم,1,أبو,vos deux ancêtres
أبويك,1,أبو,"""Non traduit pour le moment"""
أبينا,1,أبو,"""Non traduit pour le moment"""
أبانا,1,أبو,"""Non traduit pour le moment"""
أباهم,1,أبو,"""Non traduit pour le moment"""
ءاباءى,1,أبو,"""Non traduit pour le moment"""
أباه,1,أبو,"""Non traduit pour le moment"""
أبيهم,1,أبو,"""Non traduit pour le moment"""
أباكم,1,أبو,"""Non traduit pour le moment"""
أبوهما,1,أبو,"""Non traduit pour le moment"""
أبوك,1,أبو,"""Non traduit pour le moment"""
ءاباء,1,أبو,"""Non traduit pour le moment"""
لأبى,1,أبو,"""Non traduit pour le moment"""
وأبونا,1,أبو,"""Non traduit pour le moment"""
وأبيه,1,أبو,"et son père,"
فأبى,3,أبي,"""Non traduit pour le moment"""
يأب,2,أبي,refuse
وتأبى,1,أبي,"""Non traduit pour le moment"""
ويأبى,1,أبي,"""Non traduit pour le moment"""
فأبوا,1,أبي,"""Non traduit pour le moment"""
وأبى,1,أبي,"""Non traduit pour le moment"""
فأبين,1,أبي,"""Non traduit pour le moment"""
أوتوا,32,أتي,il a été donné
يأتى,22,أتي,apporte
ءاتينا,19,أتي,nous avons donné à
ءاتينهم,16,أتي,nous leur avons donné
تأتيهم,16,أتي,il leur est apporté
وءاتوا,15,أتي,et donnez
يأتيهم,15,أتي,vienne à eux
أوتى,14,أتي,a été donné à
فأتوا,10,أتي,alors produisez
يأت,10,أتي,ramenera
وءاتينه,9,أتي,Et nous lui avons donné
يأتيكم,8,أتي,il vous sera restitué
ءاتىهم,8,أتي,leur a donné
وءاتينا,7,أتي,et nous avons donné à
يأتكم,6,أتي,il vous soit produit
يؤتيه,6,أتي,Il la procure à
ءاتىكم,6,أتي,il vous a attribué.
أتى,6,أتي,Venu / vint
أتىك,6,أتي,parvenu
يؤتى,5,أتي,attribut
أوتيتم,5,أتي,vous a été donné
يأتين,5,أتي,commettent
ويؤتون,5,أتي,et donnent
يأتوا,5,أتي,ils viennent
أتىهم,5,أتي,leur a été apporté
ءاتينه,5,أتي,nous lui avons apporté
ائتونى,5,أتي,apportez-moi
تأتينا,4,أتي,nous apporte
ءاتنا,4,أتي,donne-nous
ءاتيتموهن,4,أتي,vous leur avez donné
يؤت,4,أتي,lui a été donné
فأت,4,أتي,Alors apporte
يؤتون,4,أتي,une hile de noyau de date
وءاتينهم,4,أتي,et nous leurs avons donné
يأتوك,4,أتي,sont venus à toi ;
ائتنا,4,أتي,"""Restez avec nous!""""."
لتأتون,4,أتي,approchez manifestement
يؤتكم,4,أتي,Il vous apporterait
يأتون,4,أتي,Ils apportent
يأتيه,4,أتي,il lui sera attribué
ءاتيكم,4,أتي,"""Non traduit pour le moment"""
يأتينكم,3,أتي,il vous est donné
ءاتينكم,3,أتي,nous vous avons donné
وءاتى,3,أتي,et il donne
ءاتيتم,3,أتي,vous est apporté
نؤته,3,أتي,nous lui donnons
أتوا,3,أتي,ils ont apporté
ويأت,3,أتي,et il peut en appoter
أتىكم,3,أتي,venait à vous
فأتنا,3,أتي,Apporte nous donc
أتأتون,3,أتي,"""Apportez-vous"
يأتهم,3,أتي,leur est apporté
أتىها,3,أتي,lui vient
تأتى,3,أتي,"""Non traduit pour le moment"""
وأتوا,2,أتي,Mais en fait ils leur a été donné
ءاتىه,2,أتي,lui ait donné
تؤتى,2,أتي,Tu accordes
يأتينا,2,أتي,il vienne à nous
وءاتيتم,2,أتي,et que vous avez donné à
فءاتوهن,2,أتي,alors donnez-leur
ويؤت,2,أتي,et accorde
لءاتينهم,2,أتي,nous leur aurions accordé
نؤتيه,2,أتي,nous lui accorderons
يؤتيهم,2,أتي,Il leur accordera
وءاتىكم,2,أتي,et vous a accordé
لءات,2,أتي,"adviendra incontestablement,"
تأتيكم,2,أتي,elle vous sera apporté
ءاتىهما,2,أتي,Il leur attribut
تأتهم,2,أتي,vous leur venez
ائت,2,أتي,Apporte
ءاتيت,2,أتي,"""Non traduit pour le moment"""
وءاتىنى,2,أتي,"""Non traduit pour le moment"""
يأتيكما,2,أتي,"""Non traduit pour le moment"""
يأتينى,2,أتي,"""Non traduit pour le moment"""
وأتونى,2,أتي,"""Non traduit pour le moment"""
نأتى,2,أتي,"""Non traduit pour le moment"""
لءاتية,2,أتي,"""Non traduit pour le moment"""
ءاتينك,2,أتي,"""Non traduit pour le moment"""
ءاتونى,2,أتي,"""Non traduit pour le moment"""
ءاتية,2,أتي,"""Non traduit pour le moment"""
ائتوا,2,أتي,"""Non traduit pour le moment"""
أتينا,2,أتي,"""Non traduit pour le moment"""
وإيتاء,2,أتي,"""Non traduit pour le moment"""
أتينهم,2,أتي,"""Non traduit pour le moment"""
وءاتوهم,2,أتي,Et apportez leur
وأوتينا,2,أتي,"""Non traduit pour le moment"""
ءاتيك,2,أتي,"""Non traduit pour le moment"""
أوتيته,2,أتي,Il m'a été donné ceci
فأتىهم,2,أتي,alors leur est parvenu
فليأتوا,2,أتي,Qu'ils s'amènent donc
يأتوكم,1,أتي,ils vous venaient
نأت,1,أتي,nous apportons
أتيت,1,أتي,tu apportes à
تأتوا,1,أتي,vous abordiez
أوتوه,1,أتي,"il leur a été donné,"
فأتوهن,1,أتي,alors venez à elles
وءاتىه,1,أتي,et lui donna
يأتينك,1,أتي,Ils viendront à toi
فءاتت,1,أتي,et alors il donne
وتؤتوها,1,أتي,et que vous les donnez
ءاتيتكم,1,أتي,Je vous aurai donné
ويأتوكم,1,أتي,et qu'ils viennent à vous
فءاتىهم,1,أتي,"Par conséquent, leur accorda"
وءاتنا,1,أتي,et apportes nous
تؤتوا,1,أتي,donnez
يأتينها,1,أتي,commettent tous deux
وءاتوهن,1,أتي,et donnez-leur
أتين,1,أتي,elles commettent
فءاتوهم,1,أتي,alors donnez-leur
ولتأت,1,أتي,et que s'amène
تؤتونهن,1,أتي,vous leur donnez
والمؤتون,1,أتي,et ceux qui donnent
سنؤتيهم,1,أتي,nous leur donnerons
تؤتوه,1,أتي,"cela vous est donné,"
فتأتيهم,1,أتي,afin que tu leur vienne donc
أتتكم,1,أتي,venait à vous
ءاتينها,1,أتي,nous l'avons apporté à
نؤتى,1,أتي,nous soit donné
فءاتهم,1,أتي,attribut leur donc
تأتنا,1,أتي,tu nous apporte
ءاتيتك,1,أتي,je t'ai apporté
ءاتيتنا,1,أتي,tu nous attribut
سيؤتينا,1,أتي,"""Non traduit pour le moment"""
أتتهم,1,أتي,"""Non traduit pour le moment"""
ءاتىنا,1,أتي,"""Non traduit pour le moment"""
أتوك,1,أتي,"""Non traduit pour le moment"""
ءاتيهم,1,أتي,"""Non traduit pour le moment"""
وءاتت,1,أتي,"""Non traduit pour le moment"""
تأتونى,1,أتي,"""Non traduit pour le moment"""
تؤتون,1,أتي,"""Non traduit pour le moment"""
لتأتننى,1,أتي,"""Non traduit pour le moment"""
ءاتوه,1,أتي,"""Non traduit pour le moment"""
ءاتيتنى,1,أتي,"""Non traduit pour le moment"""
فأتونا,1,أتي,"""Non traduit pour le moment"""
نأتيكم,1,أتي,"""Non traduit pour le moment"""
ويأتيه,1,أتي,"""Non traduit pour le moment"""
وأتينك,1,أتي,"""Non traduit pour le moment"""
يأتيك,1,أتي,"""Non traduit pour le moment"""
فأتى,1,أتي,"""Non traduit pour le moment"""
وأتىهم,1,أتي,"""Non traduit pour le moment"""
وإيتائ,1,أتي,"""Non traduit pour le moment"""
يأتيها,1,أتي,"""Non traduit pour le moment"""
وءات,1,أتي,"""Non traduit pour le moment"""
فليأتكم,1,أتي,"""Non traduit pour le moment"""
ءاتت,1,أتي,"""Non traduit pour le moment"""
يؤتين,1,أتي,"""Non traduit pour le moment"""
أتيا,1,أتي,"""Non traduit pour le moment"""
فأتت,1,أتي,"""Non traduit pour le moment"""
ءاتىنى,1,أتي,"""Non traduit pour le moment"""
يأتوننا,1,أتي,"""Non traduit pour le moment"""
يأتك,1,أتي,"""Non traduit pour le moment"""
مأتيا,1,أتي,"""Non traduit pour le moment"""
لأوتين,1,أتي,"""Non traduit pour le moment"""
ويأتينا,1,أتي,"""Non traduit pour le moment"""
ءاتى,1,أتي,"""Non traduit pour le moment"""
ءاتيه,1,أتي,"""Non traduit pour le moment"""
أوتيت,1,أتي,"""Non traduit pour le moment"""
فأتياه,1,أتي,"""Non traduit pour le moment"""
فلنأتينك,1,أتي,"""Non traduit pour le moment"""
يأته,1,أتي,"""Non traduit pour le moment"""
أتتك,1,أتي,"""Non traduit pour le moment"""
